id_produto;cod_ncm;Forma de Aquisicao;Origem da Mercadoria;Tipo de Tributacao;Regra de Tributos;Unidade Comercial
46732;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46541;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46536;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46539;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46535;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46734;39269090;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46542;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46733;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46936;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46897;21069030;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46933;61046300;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46934;61046300;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46931;61091000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46932;39233000;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46885;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46886;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46888;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46889;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46890;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46894;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46895;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46896;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46891;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46892;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
46893;;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
47004;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
47005;62113200;Adquirida de Terceiros;Nacional;Valor da Operação;PADRAO;UN
